construction_kind,curve_index,curve_label,family_label,a,b,s,t,F_integral,height_F,affine_point_count,projective_lower_bound,n_orbits,pari_height
d4_reciprocal,1,CURBA #1,D4_t=-97/36,6,-97,36,-97/36,36*x^6 - 97*x^4 - 97*x^2 + 36,97,42,44,6,200000
d4_reciprocal,2,CURBA #2,D4_t=-1/20,10,-5,100,-1/20,100*x^6 - 5*x^4 - 5*x^2 + 100,100,42,44,6,200000
d4_reciprocal,3,CURBA #3,D4_t=148,1,148,1,148,x^6 + 148*x^4 + 148*x^2 + 1,148,42,44,6,200000
d4_reciprocal,4,CURBA #4,D4_t=-37/5,5,-185,25,-37/5,25*x^6 - 185*x^4 - 185*x^2 + 25,185,42,44,6,200000
d4_reciprocal,5,CURBA #5,D4_t=-137/196,14,-137,196,-137/196,196*x^6 - 137*x^4 - 137*x^2 + 196,196,42,44,6,200000
d4_reciprocal,6,CURBA #6,D4_t=83/196,14,83,196,83/196,196*x^6 + 83*x^4 + 83*x^2 + 196,196,42,44,6,200000
d4_reciprocal,7,CURBA #7,D4_t=-14/45,15,-70,225,-14/45,225*x^6 - 70*x^4 - 70*x^2 + 225,225,42,44,6,200000
d4_reciprocal,8,CURBA #8,D4_t=-7/9,3,-7,9,-7/9,9*x^6 - 7*x^4 - 7*x^2 + 9,9,38,40,6,200000
d4_reciprocal,9,CURBA #9,D4_t=7/25,5,7,25,7/25,25*x^6 + 7*x^4 + 7*x^2 + 25,25,38,40,6,200000
d4_reciprocal,10,CURBA #10,D4_t=23/2,2,46,4,23/2,4*x^6 + 46*x^4 + 46*x^2 + 4,46,38,40,6,200000
d4_reciprocal,11,CURBA #11,D4_t=71,1,71,1,71,x^6 + 71*x^4 + 71*x^2 + 1,71,38,40,6,200000
d4_reciprocal,12,CURBA #12,D4_t=-37/36,6,-37,36,-37/36,36*x^6 - 37*x^4 - 37*x^2 + 36,37,34,36,5,200000
d4_reciprocal,13,CURBA #13,D4_t=-14/5,5,-70,25,-14/5,25*x^6 - 70*x^4 - 70*x^2 + 25,70,34,36,5,200000
d4_reciprocal,14,CURBA #14,D4_t=-83/64,8,-83,64,-83/64,64*x^6 - 83*x^4 - 83*x^2 + 64,83,34,36,5,200000
d4_reciprocal,15,CURBA #15,D4_t=98/81,9,98,81,98/81,81*x^6 + 98*x^4 + 98*x^2 + 81,98,34,36,5,200000
d4_reciprocal,16,CURBA #16,D4_t=-77/100,10,-77,100,-77/100,100*x^6 - 77*x^4 - 77*x^2 + 100,100,34,36,5,200000
d4_reciprocal,17,CURBA #17,D4_t=-112/121,11,-112,121,-112/121,121*x^6 - 112*x^4 - 112*x^2 + 121,121,34,36,5,200000
d4_reciprocal,18,CURBA #18,D4_t=-14/121,11,-14,121,-14/121,121*x^6 - 14*x^4 - 14*x^2 + 121,121,34,36,5,200000
d4_reciprocal,19,CURBA #19,D4_t=-49/144,12,-49,144,-49/144,144*x^6 - 49*x^4 - 49*x^2 + 144,144,34,36,5,200000
d4_reciprocal,20,CURBA #20,D4_t=-164/81,9,-164,81,-164/81,81*x^6 - 164*x^4 - 164*x^2 + 81,164,34,36,5,200000
d4_reciprocal,21,CURBA #21,D4_t=-31/98,14,-62,196,-31/98,196*x^6 - 62*x^4 - 62*x^2 + 196,196,34,36,5,200000
d4_reciprocal,22,CURBA #22,D4_t=-28/9,3,-28,9,-28/9,9*x^6 - 28*x^4 - 28*x^2 + 9,28,26,28,4,200000
d4_reciprocal,23,CURBA #23,D4_t=42,1,42,1,42,x^6 + 42*x^4 + 42*x^2 + 1,42,26,28,4,200000
d4_reciprocal,24,CURBA #24,D4_t=56/9,3,56,9,56/9,9*x^6 + 56*x^4 + 56*x^2 + 9,56,26,28,4,200000
d4_reciprocal,25,CURBA #25,D4_t=-58/49,7,-58,49,-58/49,49*x^6 - 58*x^4 - 58*x^2 + 49,58,26,28,4,200000
d4_reciprocal,26,CURBA #26,D4_t=-74/49,7,-74,49,-74/49,49*x^6 - 74*x^4 - 74*x^2 + 49,74,26,28,4,200000
d4_reciprocal,27,CURBA #27,D4_t=-56/81,9,-56,81,-56/81,81*x^6 - 56*x^4 - 56*x^2 + 81,81,26,28,4,200000
d4_reciprocal,28,CURBA #28,D4_t=-113/49,7,-113,49,-113/49,49*x^6 - 113*x^4 - 113*x^2 + 49,113,26,28,4,200000
d4_reciprocal,29,CURBA #29,D4_t=-47/121,11,-47,121,-47/121,121*x^6 - 47*x^4 - 47*x^2 + 121,121,26,28,4,200000
d4_reciprocal,30,CURBA #30,D4_t=-32/121,11,-32,121,-32/121,121*x^6 - 32*x^4 - 32*x^2 + 121,121,26,28,4,200000
d4_reciprocal,31,CURBA #31,D4_t=46/3,3,138,9,46/3,9*x^6 + 138*x^4 + 138*x^2 + 9,138,26,28,4,200000
d4_reciprocal,32,CURBA #32,D4_t=142/121,11,142,121,142/121,121*x^6 + 142*x^4 + 142*x^2 + 121,142,26,28,4,200000
d4_reciprocal,33,CURBA #33,D4_t=49/12,6,147,36,49/12,36*x^6 + 147*x^4 + 147*x^2 + 36,147,26,28,4,200000
d4_reciprocal,34,CURBA #34,D4_t=-158/49,7,-158,49,-158/49,49*x^6 - 158*x^4 - 158*x^2 + 49,158,26,28,4,200000
d4_reciprocal,35,CURBA #35,D4_t=-42/169,13,-42,169,-42/169,169*x^6 - 42*x^4 - 42*x^2 + 169,169,26,28,4,200000
