construction_kind,execution_relative_dir,source_details_path,family_index,curve_index,family_label,curve_label,stage,m,rs,abs_roots,forced_xs,q_params_family,q_family,H_family,Pq_family,top_k_min_affine,top_k_max_affine,top_k_sum_affine,best_affine_point_count,best_projective_lower_bound,A,B,Q_curve,L_tail,L_curve,pari_height,extra_x_count,extra_point_count,affine_point_count,projective_lower_bound,F_original,height_F_original,degree,leading_coefficient_original,is_squarefree_original,is_even_original,D_lcm_denominators,F_integral,height_F_integral,leading_coefficient_integral,is_squarefree_integral_over_Q
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,1,1,FAMILIA #1,CURBA #1,STAGE_2_REFINEMENT,4,"(-3, -1, 1, 2)",,,"{'u': -2, 'v': 2, 'w': -1}",-2*x^2 + 2*x - 1,x^4 + x^3 - 7*x^2 - x + 6,-12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(-6, 4/3)",x^2 - 6*x + 4/3,80000,35,70,78,80,x^6 - 5*x^5 - 35/3*x^4 + 91/3*x^3 + 116/3*x^2 - 112/3*x - 15,116,6,1,True,False,3,9*x^6 - 45*x^5 - 105*x^4 + 273*x^3 + 348*x^2 - 336*x - 135,348,9,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,1,2,FAMILIA #1,CURBA #2,STAGE_2_REFINEMENT,4,"(-3, -1, 1, 2)",,,"{'u': -2, 'v': 2, 'w': -1}",-2*x^2 + 2*x - 1,x^4 + x^3 - 7*x^2 - x + 6,-12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(-7, -1/3)",x^2 - 7*x - 1/3,80000,30,60,68,70,x^6 - 6*x^5 - 43/3*x^4 + 107/3*x^3 + 154/3*x^2 - 125/3*x - 25,154,6,1,True,False,3,9*x^6 - 54*x^5 - 129*x^4 + 321*x^3 + 462*x^2 - 375*x - 225,462,9,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,1,3,FAMILIA #1,CURBA #3,STAGE_2_REFINEMENT,4,"(-3, -1, 1, 2)",,,"{'u': -2, 'v': 2, 'w': -1}",-2*x^2 + 2*x - 1,x^4 + x^3 - 7*x^2 - x + 6,-12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(8/3, 7/2)",x^2 + 8/3*x + 7/2,80000,30,60,68,70,x^6 + 11/3*x^5 - 5/6*x^4 - 169/6*x^3 + 89/6*x^2 + 25/2*x - 2,169,6,1,True,False,6,36*x^6 + 132*x^5 - 30*x^4 - 1014*x^3 + 534*x^2 + 450*x - 72,1014,36,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,1,4,FAMILIA #1,CURBA #4,STAGE_2_REFINEMENT,4,"(-3, -1, 1, 2)",,,"{'u': -2, 'v': 2, 'w': -1}",-2*x^2 + 2*x - 1,x^4 + x^3 - 7*x^2 - x + 6,-12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(-5/3, -5/2)",x^2 - 5/3*x - 5/2,80000,30,60,68,70,x^6 - 2/3*x^5 - 67/6*x^4 - 23/6*x^3 + 367/6*x^2 - 15/2*x - 38,367,6,1,True,False,6,36*x^6 - 24*x^5 - 402*x^4 - 138*x^3 + 2202*x^2 - 270*x - 1368,2202,36,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,1,5,FAMILIA #1,CURBA #5,STAGE_2_REFINEMENT,4,"(-3, -1, 1, 2)",,,"{'u': -2, 'v': 2, 'w': -1}",-2*x^2 + 2*x - 1,x^4 + x^3 - 7*x^2 - x + 6,-12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(-5/3, 4)",x^2 - 5/3*x + 4,80000,28,56,64,66,x^6 - 2/3*x^5 - 14/3*x^4 + 8/3*x^3 + 47/3*x^2 - 14*x + 1,47,6,1,True,False,3,9*x^6 - 6*x^5 - 42*x^4 + 24*x^3 + 141*x^2 - 126*x + 9,141,9,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,2,1,FAMILIA #2,CURBA #1,STAGE_2_REFINEMENT,4,"(-2, -1, 1, 3)",,,"{'u': -2, 'v': -2, 'w': -1}",-2*x^2 - 2*x - 1,x^4 - x^3 - 7*x^2 + x + 6,12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(6, 4/3)",x^2 + 6*x + 4/3,80000,35,70,78,80,x^6 + 5*x^5 - 35/3*x^4 - 91/3*x^3 + 116/3*x^2 + 112/3*x - 15,116,6,1,True,False,3,9*x^6 + 45*x^5 - 105*x^4 - 273*x^3 + 348*x^2 + 336*x - 135,348,9,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,2,2,FAMILIA #2,CURBA #2,STAGE_2_REFINEMENT,4,"(-2, -1, 1, 3)",,,"{'u': -2, 'v': -2, 'w': -1}",-2*x^2 - 2*x - 1,x^4 - x^3 - 7*x^2 + x + 6,12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(7, -1/3)",x^2 + 7*x - 1/3,80000,30,60,68,70,x^6 + 6*x^5 - 43/3*x^4 - 107/3*x^3 + 154/3*x^2 + 125/3*x - 25,154,6,1,True,False,3,9*x^6 + 54*x^5 - 129*x^4 - 321*x^3 + 462*x^2 + 375*x - 225,462,9,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,2,3,FAMILIA #2,CURBA #3,STAGE_2_REFINEMENT,4,"(-2, -1, 1, 3)",,,"{'u': -2, 'v': -2, 'w': -1}",-2*x^2 - 2*x - 1,x^4 - x^3 - 7*x^2 + x + 6,12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(-8/3, 7/2)",x^2 - 8/3*x + 7/2,80000,30,60,68,70,x^6 - 11/3*x^5 - 5/6*x^4 + 169/6*x^3 + 89/6*x^2 - 25/2*x - 2,169,6,1,True,False,6,36*x^6 - 132*x^5 - 30*x^4 + 1014*x^3 + 534*x^2 - 450*x - 72,1014,36,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,2,4,FAMILIA #2,CURBA #4,STAGE_2_REFINEMENT,4,"(-2, -1, 1, 3)",,,"{'u': -2, 'v': -2, 'w': -1}",-2*x^2 - 2*x - 1,x^4 - x^3 - 7*x^2 + x + 6,12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(5/3, -5/2)",x^2 + 5/3*x - 5/2,80000,30,60,68,70,x^6 + 2/3*x^5 - 67/6*x^4 + 23/6*x^3 + 367/6*x^2 + 15/2*x - 38,367,6,1,True,False,6,36*x^6 + 24*x^5 - 402*x^4 + 138*x^3 + 2202*x^2 + 270*x - 1368,2202,36,True
general,general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12,families_construct_general_two_stage/general_m4_H1_1000_H2_80000_topRef100_goodX26_rsN6_rsD6_maxRS3000_maxFam10000_maxQperRS50_q-6to5_L1-6to6_nL119_L2-10to10_nL245_workers12/stage2_refined_details.txt,2,5,FAMILIA #2,CURBA #5,STAGE_2_REFINEMENT,4,"(-2, -1, 1, 3)",,,"{'u': -2, 'v': -2, 'w': -1}",-2*x^2 - 2*x - 1,x^4 - x^3 - 7*x^2 + x + 6,12*x^3 + 36*x^2 - 23,64,78,346,78,80,,,,"(5/3, 4)",x^2 + 5/3*x + 4,80000,28,56,64,66,x^6 + 2/3*x^5 - 14/3*x^4 - 8/3*x^3 + 47/3*x^2 + 14*x + 1,47,6,1,True,False,3,9*x^6 + 6*x^5 - 42*x^4 - 24*x^3 + 141*x^2 + 126*x + 9,141,9,True
