unique_id,poly_hash,_source_csv,_source_row_index,construction_kind,execution_relative_dir,family_index,curve_index,family_label,curve_label,affine_point_count,projective_lower_bound,extra_x_count,F_integral,rank_Jacobian,rank_status,rank_source,rankbounds_lb,rankbounds_ub,rank_direct,rank_g,finiteIndex,proved,ub2,assumption,magma_time,memory,warning,xml_file,request_status
curve_000001_5d5cedf11e3d10f0,5d5cedf11e3d10f0,families_construct_d4_reciprocal/d4_top_curves_summary.csv,1,d4_reciprocal,,,1,D4_t=-97/36,CURBA #1,42,44,,36*x^6 - 97*x^4 - 97*x^2 + 36,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,0,8,,8,true,false,8,GRH,13.339,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000001_5d5cedf11e3d10f0_5d5cedf11e3d10f0.xml,ok
curve_000002_b021dee8184adda1,b021dee8184adda1,families_construct_d4_reciprocal/d4_top_curves_summary.csv,2,d4_reciprocal,,,2,D4_t=-1/20,CURBA #2,42,44,,100*x^6 - 5*x^4 - 5*x^2 + 100,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,4,8,,8,true,false,8,GRH,14.189,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000002_b021dee8184adda1_b021dee8184adda1.xml,ok
curve_000003_ef2f73cf0ae43690,ef2f73cf0ae43690,families_construct_d4_reciprocal/d4_top_curves_summary.csv,3,d4_reciprocal,,,3,D4_t=148,CURBA #3,42,44,,x^6 + 148*x^4 + 148*x^2 + 1,8,determined_by_RankBounds,RankBounds_lb_eq_ub,8,8,8,,,,,GRH,38.159,110.56MB,,magma_rank_results_d4_reciprocal/xml/curve_000003_ef2f73cf0ae43690_ef2f73cf0ae43690.xml,ok
curve_000004_06c008635e0780c9,06c008635e0780c9,families_construct_d4_reciprocal/d4_top_curves_summary.csv,4,d4_reciprocal,,,4,D4_t=-37/5,CURBA #4,42,44,,25*x^6 - 185*x^4 - 185*x^2 + 25,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,0,6,,6,true,false,6,GRH,11.070,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000004_06c008635e0780c9_06c008635e0780c9.xml,ok
curve_000005_52fa8b17317df482,52fa8b17317df482,families_construct_d4_reciprocal/d4_top_curves_summary.csv,5,d4_reciprocal,,,5,D4_t=-137/196,CURBA #5,42,44,,196*x^6 - 137*x^4 - 137*x^2 + 196,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,0,8,,8,true,false,8,GRH,14.029,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000005_52fa8b17317df482_52fa8b17317df482.xml,ok
curve_000006_eaec9f1fe08cd8f7,eaec9f1fe08cd8f7,families_construct_d4_reciprocal/d4_top_curves_summary.csv,6,d4_reciprocal,,,6,D4_t=83/196,CURBA #6,42,44,,196*x^6 + 83*x^4 + 83*x^2 + 196,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,0,8,,8,true,false,8,GRH,15.029,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000006_eaec9f1fe08cd8f7_eaec9f1fe08cd8f7.xml,ok
curve_000007_45ec20aa23b88ff0,45ec20aa23b88ff0,families_construct_d4_reciprocal/d4_top_curves_summary.csv,7,d4_reciprocal,,,7,D4_t=-14/45,CURBA #7,42,44,,225*x^6 - 70*x^4 - 70*x^2 + 225,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,0,8,,8,true,false,8,GRH,14.500,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000007_45ec20aa23b88ff0_45ec20aa23b88ff0.xml,ok
curve_000008_c024fdd848c48fbc,c024fdd848c48fbc,families_construct_d4_reciprocal/d4_top_curves_summary.csv,8,d4_reciprocal,,,8,D4_t=-7/9,CURBA #8,38,40,,9*x^6 - 7*x^4 - 7*x^2 + 9,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,2,6,,6,true,false,6,GRH,10.369,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000008_c024fdd848c48fbc_c024fdd848c48fbc.xml,ok
curve_000009_65a1563454100401,65a1563454100401,families_construct_d4_reciprocal/d4_top_curves_summary.csv,9,d4_reciprocal,,,9,D4_t=7/25,CURBA #9,38,40,,25*x^6 + 7*x^4 + 7*x^2 + 25,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,0,6,,6,true,false,6,GRH,10.369,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000009_65a1563454100401_65a1563454100401.xml,ok
curve_000010_c2f6d6b8b780c642,c2f6d6b8b780c642,families_construct_d4_reciprocal/d4_top_curves_summary.csv,10,d4_reciprocal,,,10,D4_t=23/2,CURBA #10,38,40,,4*x^6 + 46*x^4 + 46*x^2 + 4,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,4,6,,6,true,false,6,GRH,11.169,129.59MB,,magma_rank_results_d4_reciprocal/xml/curve_000010_c2f6d6b8b780c642_c2f6d6b8b780c642.xml,ok
