unique_id,poly_hash,F_integral,first_source_csv,first_source_row_index,first_construction_kind,first_execution_relative_dir,first_family_index,first_curve_index,first_family_label,first_curve_label,first_affine_point_count,first_projective_lower_bound,height_F_integral,degree,is_squarefree_integral_over_Q,appearance_count,xml_file,request_status,elapsed_local_seconds,max_time,max_input,seed,version,time,memory,warning,rankbounds_lb,rankbounds_ub,rank_direct,rank_g,finiteIndex,proved,ub2,final_rank_printed,rank_Jacobian,rank_status,rank_source,assumption,magma_error,unresolved,lines_text
curve_000001_439d642d6553e3ab,439d642d6553e3ab,900*x^6 - 11076*x^4 + 32928*x^2 + 2304,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,1,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,1,1,FAMILIA #1,CURBA #1,90,92,32928,6,True,1,magma_rank_results_integral_models/xml/curve_000001_439d642d6553e3ab_439d642d6553e3ab.xml,cached,0.000,120,50000,3364020723,2.29-6,19.550,129.59MB,,0,10,,10,true,false,10,10,10,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000001_439d642d6553e3ab | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #1 | CURBA #1
f(x) = 900*x^6 - 11076*x^4 + 32928*x^2 + 2304
RankBounds: [0, 10]
rank(G) = 10
finiteIndex = true, proved = false, ub2 = 10
RANK DETERMINAT: rank J(Q) = 10
"
curve_000002_7e5f97adf480eb1a,7e5f97adf480eb1a,1764*x^6 - 22692*x^4 + 69024*x^2 - 11520,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,2,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,1,2,FAMILIA #1,CURBA #2,88,90,69024,6,True,1,magma_rank_results_integral_models/xml/curve_000002_7e5f97adf480eb1a_7e5f97adf480eb1a.xml,cached,0.000,120,50000,3331125208,2.29-6,21.699,129.59MB,,0,10,,10,true,false,10,10,10,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000002_7e5f97adf480eb1a | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #1 | CURBA #2
f(x) = 1764*x^6 - 22692*x^4 + 69024*x^2 - 11520
RankBounds: [0, 10]
rank(G) = 10
finiteIndex = true, proved = false, ub2 = 10
RANK DETERMINAT: rank J(Q) = 10
"
curve_000003_dd350e66ddc49bd1,dd350e66ddc49bd1,144*x^6 + 944*x^4 - 16064*x^2 + 65536,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,3,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,1,3,FAMILIA #1,CURBA #3,82,84,65536,6,True,1,magma_rank_results_integral_models/xml/curve_000003_dd350e66ddc49bd1_dd350e66ddc49bd1.xml,cached,0.000,120,50000,3431392747,2.29-6,22.510,132.66MB,,0,10,,10,true,false,10,10,10,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000003_dd350e66ddc49bd1 | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #1 | CURBA #3
f(x) = 144*x^6 + 944*x^4 - 16064*x^2 + 65536
RankBounds: [0, 10]
rank(G) = 10
finiteIndex = true, proved = false, ub2 = 10
RANK DETERMINAT: rank J(Q) = 10
"
curve_000005_c0658859fe0432a7,c0658859fe0432a7,64*x^6 - 835*x^4 + 2403*x^2 - 248,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,5,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,1,5,FAMILIA #1,CURBA #5,76,78,2403,6,True,2,magma_rank_results_integral_models/xml/curve_000005_c0658859fe0432a7_c0658859fe0432a7.xml,cached,0.000,120,50000,3380863232,2.29-6,21.019,129.59MB,,0,11,,11,true,false,11,11,11,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000005_c0658859fe0432a7 | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #1 | CURBA #5
f(x) = 64*x^6 - 835*x^4 + 2403*x^2 - 248
RankBounds: [0, 11]
rank(G) = 11
finiteIndex = true, proved = false, ub2 = 11
RANK DETERMINAT: rank J(Q) = 11
"
curve_000006_ef236ff1076f78de,ef236ff1076f78de,7056*x^6 - 172560*x^4 + 968448*x^2 + 230400,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,6,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,2,1,FAMILIA #2,CURBA #1,94,96,968448,6,True,1,magma_rank_results_integral_models/xml/curve_000006_ef236ff1076f78de_ef236ff1076f78de.xml,cached,0.000,120,50000,3464816609,2.29-6,30.100,129.59MB,,0,12,,12,true,false,12,12,12,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000006_ef236ff1076f78de | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #2 | CURBA #1
f(x) = 7056*x^6 - 172560*x^4 + 968448*x^2 + 230400
RankBounds: [0, 12]
rank(G) = 12
finiteIndex = true, proved = false, ub2 = 12
RANK DETERMINAT: rank J(Q) = 12
"
curve_000007_bc9d8a627dda447a,bc9d8a627dda447a,9*x^6 - 226*x^4 + 1342*x^2 - 284,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,7,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,2,2,FAMILIA #2,CURBA #2,92,94,1342,6,True,3,magma_rank_results_integral_models/xml/curve_000007_bc9d8a627dda447a_bc9d8a627dda447a.xml,cached,0.000,120,50000,4038777226,2.29-6,22.589,129.59MB,,0,11,,11,true,false,11,11,11,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000007_bc9d8a627dda447a | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #2 | CURBA #2
f(x) = 9*x^6 - 226*x^4 + 1342*x^2 - 284
RankBounds: [0, 11]
rank(G) = 11
finiteIndex = true, proved = false, ub2 = 11
RANK DETERMINAT: rank J(Q) = 11
"
curve_000008_c5520cd5901fea57,c5520cd5901fea57,729*x^6 - 18210*x^4 + 104790*x^2 + 900,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,8,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,2,3,FAMILIA #2,CURBA #3,74,76,104790,6,True,2,magma_rank_results_integral_models/xml/curve_000008_c5520cd5901fea57_c5520cd5901fea57.xml,cached,0.000,120,50000,3448235320,2.29-6,25.219,129.59MB,,0,12,,12,true,false,12,12,12,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000008_c5520cd5901fea57 | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #2 | CURBA #3
f(x) = 729*x^6 - 18210*x^4 + 104790*x^2 + 900
RankBounds: [0, 12]
rank(G) = 12
finiteIndex = true, proved = false, ub2 = 12
RANK DETERMINAT: rank J(Q) = 12
"
curve_000009_76cd5d9d9a5616db,76cd5d9d9a5616db,36*x^6 - 564*x^4 - 192*x^2 + 28224,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,9,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,2,4,FAMILIA #2,CURBA #4,70,72,28224,6,True,2,magma_rank_results_integral_models/xml/curve_000009_76cd5d9d9a5616db_76cd5d9d9a5616db.xml,cached,0.000,120,50000,3314543868,2.29-6,16.449,129.59MB,,2,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000009_76cd5d9d9a5616db | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #2 | CURBA #4
f(x) = 36*x^6 - 564*x^4 - 192*x^2 + 28224
RankBounds: [2, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
curve_000011_86fb601d463f4a75,86fb601d463f4a75,331776*x^6 - 468992*x^4 + 203008*x^2 + 120832,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,11,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,3,1,FAMILIA #3,CURBA #1,76,78,468992,6,True,1,magma_rank_results_integral_models/xml/curve_000011_86fb601d463f4a75_86fb601d463f4a75.xml,cached,0.000,120,50000,3617455800,2.29-6,21.079,129.59MB,,0,9,,9,true,false,9,9,9,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000011_86fb601d463f4a75 | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #3 | CURBA #1
f(x) = 331776*x^6 - 468992*x^4 + 203008*x^2 + 120832
RankBounds: [0, 9]
rank(G) = 9
finiteIndex = true, proved = false, ub2 = 9
RANK DETERMINAT: rank J(Q) = 9
"
curve_000012_df2176f2f13601ef,df2176f2f13601ef,5184*x^6 - 12576*x^4 + 3972*x^2 + 36,families_construct_even_automorphism_two_stage_integral_models/all_stage2_integral_models_summary.csv,12,even_automorphism,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,3,2,FAMILIA #3,CURBA #2,74,76,12576,6,True,1,magma_rank_results_integral_models/xml/curve_000012_df2176f2f13601ef_df2176f2f13601ef.xml,cached,0.000,120,50000,4106149234,2.29-6,21.030,129.59MB,,0,10,,10,true,false,10,10,10,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000012_df2176f2f13601ef | even_automorphism |
even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to\
3_A11over5to10sq_nA35_B1-15to15_nB67_workers11 | FAMILIA #3 | CURBA #2
f(x) = 5184*x^6 - 12576*x^4 + 3972*x^2 + 36
RankBounds: [0, 10]
rank(G) = 10
finiteIndex = true, proved = false, ub2 = 10
RANK DETERMINAT: rank J(Q) = 10
"
