subfamily_rank,construction_kind,family_label,family_index,execution_relative_dir,m,rs,forced_xs,q_params,q_family,H_family,Pq_family,top_k_count,n_successful,n_determined,n_only_rankbounds,n_not_closed,n_timeout,n_memory,n_req_error,n_unresolved,n_failed,n_rank_ge_6,n_rank_ge_8,n_rank_ge_10,min_rank,max_rank,sum_rank,avg_rank,med_rank,determined_ranks,n_by_rankbounds,n_by_mordellweil,n_finite_index,n_proved,n_grh,avg_magma_time,max_magma_time,total_magma_time,top_k_min_affine,top_k_max_affine,top_k_sum_affine,top_k_avg_affine,top_k_min_proj,top_k_sum_proj,top_k_min_extra_x,top_k_sum_extra_x,best_affine,best_proj,best_height,avg_height,max_height
1,even_automorphism,FAMILIA #7,7,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,,,"(-5, -4, 4, 5)","{'u': -1, 'w': -2}",-x^2 - 2,x^4 - 41*x^2 + 400,45*x^2 - 396,5,5,5,0,0,0,0,0,0,0,5,5,5,10,12,57,11.4,12,"[10, 11, 12, 12, 12]",0,5,5,0,5,24.6372,30.329,123.18599999999999,68,72,352,70.4,70,362,30,156,72,74,6199.0,108848.0,182259.0
2,even_automorphism,FAMILIA #19,19,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,,,"(-3/5, -2/5, 2/5, 3/5)","{'u': -1, 'w': 2}",-x^2 + 2,x^4 - 13/25*x^2 + 36/625,-87/25*x^2 + 2464/625,5,5,5,0,0,0,0,0,0,0,5,5,5,10,13,55,11.0,11,"[10, 10, 11, 11, 13]",0,5,5,0,5,32.1676,42.64,160.838,64,96,388,77.6,66,398,28,174,96,98,2375000.0,24203000.0,87890625.0
3,even_automorphism,FAMILIA #8,8,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,,,"(-2, -3/2, 3/2, 2)","{'u': 0, 'w': -3}",-3,x^4 - 25/4*x^2 + 9,9,5,5,5,0,0,0,0,0,0,0,5,5,5,10,13,54,10.8,10,"[10, 10, 10, 11, 13]",0,5,5,0,5,26.0356,44.299,130.178,72,154,502,100.4,74,512,32,231,154,156,2304.0,285930.0,1165104.0
4,even_automorphism,FAMILIA #9,9,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,,,"(-4, -3, 3, 4)","{'u': -1, 'w': -5}",-x^2 - 5,x^4 - 25*x^2 + 144,35*x^2 - 119,5,5,5,0,0,0,0,0,0,0,5,5,5,10,12,54,10.8,11,"[10, 10, 11, 11, 12]",0,5,5,0,5,24.4054,35.659,122.027,66,96,392,78.4,68,402,29,176,96,98,2041.0,16320.2,35910.0
5,even_automorphism,FAMILIA #21,21,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,,,"(-2, -1/3, 1/3, 2)","{'u': -3, 'w': 2}",-3*x^2 + 2,x^4 - 37/9*x^2 + 4/9,25*x^2,5,5,5,0,0,0,0,0,0,0,5,5,5,10,12,54,10.8,11,"[10, 10, 11, 11, 12]",0,5,5,0,5,25.053800000000003,30.67,125.269,64,84,364,72.8,66,374,28,162,84,86,11934.0,740620.8,2766600.0
6,even_automorphism,FAMILIA #23,23,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,,,"(-2, -2/3, 2/3, 2)","{'u': -2, 'w': -1}",-2*x^2 - 1,x^4 - 40/9*x^2 + 16/9,196/9*x^2 - 55/9,5,5,5,0,0,0,0,0,0,0,5,5,5,10,11,52,10.4,10,"[10, 10, 10, 11, 11]",0,5,5,0,5,25.169400000000003,28.91,125.84700000000001,64,84,360,72.0,66,370,28,160,84,86,110160.0,487447.2,979200.0
7,even_automorphism,FAMILIA #3,3,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,,,"(-1, -1/2, 1/2, 1)","{'u': -1, 'w': -1/2}",-x^2 - 1/2,x^4 - 5/4*x^2 + 1/4,9/4*x^2,5,5,5,0,0,0,0,0,0,0,5,5,5,10,10,50,10.0,10,"[10, 10, 10, 10, 10]",0,5,5,0,5,22.2316,26.75,111.158,76,100,434,86.8,78,444,34,197,100,102,4528.0,17532.8,46944.0
8,even_automorphism,FAMILIA #11,11,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,,,"(-3/2, -5/6, 5/6, 3/2)","{'u': 0, 'w': -3}",-3,x^4 - 53/18*x^2 + 25/16,9,5,5,5,0,0,0,0,0,0,0,5,5,4,9,12,53,10.6,11,"[9, 10, 11, 11, 12]",0,5,5,0,5,25.1272,29.37,125.636,68,100,410,82.0,70,420,30,185,100,102,19764.0,2602720.8,6084864.0
9,even_automorphism,FAMILIA #6,6,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,,,"(-2, -1, 1, 2)","{'u': 0, 'w': -3}",-3,x^4 - 5*x^2 + 4,9,5,5,5,0,0,0,0,0,0,0,5,5,4,9,12,51,10.2,10,"[9, 10, 10, 10, 12]",0,5,5,0,5,22.3734,27.879,111.867,76,96,426,85.2,78,436,34,193,96,98,498.0,4094.0,10560.0
10,even_automorphism,FAMILIA #29,29,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,,,"(-4, -2, 2, 4)","{'u': 0, 'w': -4}",-4,x^4 - 20*x^2 + 64,16,5,5,5,0,0,0,0,0,0,0,5,5,3,9,11,49,9.8,10,"[9, 9, 10, 10, 11]",1,4,4,0,5,19.0356,24.059,95.178,64,82,360,72.0,66,370,28,160,82,84,536.0,8490.4,22336.0
