subfamily_rank,construction_kind,family_label,family_index,execution_relative_dir,top_k_count,n_determined,n_rank_ge_6,n_rank_ge_8,n_rank_ge_10,min_rank,max_rank,sum_rank,avg_rank,determined_ranks,top_k_min_affine,best_affine
1,even_automorphism,FAMILIA #7,7,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,5,5,5,5,10,12,57,11.4,"[10, 11, 12, 12, 12]",68,72
2,even_automorphism,FAMILIA #19,19,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,5,5,5,5,10,13,55,11.0,"[10, 10, 11, 11, 13]",64,96
3,even_automorphism,FAMILIA #8,8,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,5,5,5,5,10,13,54,10.8,"[10, 10, 10, 11, 13]",72,154
4,even_automorphism,FAMILIA #9,9,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,5,5,5,5,10,12,54,10.8,"[10, 10, 11, 11, 12]",66,96
5,even_automorphism,FAMILIA #21,21,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,5,5,5,5,10,12,54,10.8,"[10, 10, 11, 11, 12]",64,84
6,even_automorphism,FAMILIA #23,23,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,5,5,5,5,10,11,52,10.4,"[10, 10, 10, 11, 11]",64,84
7,even_automorphism,FAMILIA #3,3,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,5,5,5,5,10,10,50,10.0,"[10, 10, 10, 10, 10]",76,100
8,even_automorphism,FAMILIA #11,11,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,5,5,5,4,9,12,53,10.6,"[9, 10, 11, 11, 12]",68,100
9,even_automorphism,FAMILIA #6,6,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,5,5,5,4,9,12,51,10.2,"[9, 10, 10, 10, 12]",76,96
10,even_automorphism,FAMILIA #29,29,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,5,5,5,3,9,11,49,9.8,"[9, 9, 10, 10, 11]",64,82
