subfamily_rank,construction_kind,family_label,family_index,execution_relative_dir,top_k_count,n_determined,n_rank_ge_6,n_rank_ge_8,n_rank_ge_10,min_rank,max_rank,sum_rank,avg_rank,determined_ranks,top_k_min_affine,best_affine
1,general,FAMILIA #15,15,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,3,9,11,49,9.8,"[9, 9, 10, 10, 11]",68,72
2,general,FAMILIA #16,16,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,3,9,11,49,9.8,"[9, 9, 10, 10, 11]",68,72
3,general,FAMILIA #69,69,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,3,9,11,49,9.8,"[9, 9, 10, 10, 11]",62,76
4,general,FAMILIA #70,70,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,3,9,11,49,9.8,"[9, 9, 10, 10, 11]",62,76
5,general,FAMILIA #1,1,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,2,9,10,47,9.4,"[9, 9, 9, 10, 10]",72,92
6,general,FAMILIA #2,2,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,2,9,10,47,9.4,"[9, 9, 9, 10, 10]",72,92
7,general,FAMILIA #26,26,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,2,9,10,47,9.4,"[9, 9, 9, 10, 10]",66,74
8,general,FAMILIA #25,25,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,2,9,10,47,9.4,"[9, 9, 9, 10, 10]",66,74
9,general,FAMILIA #41,41,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,2,9,10,47,9.4,"[9, 9, 9, 10, 10]",64,82
10,general,FAMILIA #51,51,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,2,9,10,47,9.4,"[9, 9, 9, 10, 10]",64,74
11,general,FAMILIA #2,2,general_m4_H1_2000_H2_200000_topRef20_goodX30_rsN8_rsD8_maxRS15000_maxFam100000_maxQperRS100_q-8to8_L1-8to8_nL125_L2-10to10_nL245_workers12,5,5,5,5,1,9,11,47,9.4,"[9, 9, 9, 9, 11]",72,78
12,general,FAMILIA #3,3,general_m4_H1_2000_H2_200000_topRef20_goodX30_rsN8_rsD8_maxRS15000_maxFam100000_maxQperRS100_q-8to8_L1-8to8_nL125_L2-10to10_nL245_workers12,5,5,5,5,1,9,11,47,9.4,"[9, 9, 9, 9, 11]",72,78
13,general,FAMILIA #9,9,general_m4_H1_2000_H2_200000_topRef20_goodX30_rsN8_rsD8_maxRS15000_maxFam100000_maxQperRS100_q-8to8_L1-8to8_nL125_L2-10to10_nL245_workers12,5,5,5,5,1,9,11,47,9.4,"[9, 9, 9, 9, 11]",64,92
14,general,FAMILIA #7,7,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",70,86
15,general,FAMILIA #8,8,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",70,86
16,general,FAMILIA #13,13,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",68,80
17,general,FAMILIA #14,14,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",68,80
18,general,FAMILIA #21,21,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",66,78
19,general,FAMILIA #22,22,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",66,78
20,general,FAMILIA #13,13,general_m4_H1_2000_H2_200000_topRef20_goodX30_rsN8_rsD8_maxRS15000_maxFam100000_maxQperRS100_q-8to8_L1-8to8_nL125_L2-10to10_nL245_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",54,84
21,general,FAMILIA #14,14,general_m4_H1_2000_H2_200000_topRef20_goodX30_rsN8_rsD8_maxRS15000_maxFam100000_maxQperRS100_q-8to8_L1-8to8_nL125_L2-10to10_nL245_workers12,5,5,5,5,1,9,10,46,9.2,"[9, 9, 9, 9, 10]",54,84
22,general,FAMILIA #11,11,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,0,9,9,45,9.0,"[9, 9, 9, 9, 9]",68,84
23,general,FAMILIA #12,12,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,0,9,9,45,9.0,"[9, 9, 9, 9, 9]",68,84
24,general,FAMILIA #17,17,general_m4_H1_2000_H2_200000_topRef20_goodX30_rsN8_rsD8_maxRS15000_maxFam100000_maxQperRS100_q-8to8_L1-8to8_nL125_L2-10to10_nL245_workers12,5,5,5,5,0,9,9,45,9.0,"[9, 9, 9, 9, 9]",64,80
25,general,FAMILIA #5,5,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,3,8,10,47,9.4,"[8, 9, 10, 10, 10]",70,98
26,general,FAMILIA #6,6,general_m4-5_H1_5000_H2_200000_topRef75_goodX26_rsN8_rsD8_maxRS50000_maxFam5000_maxQperRS150_q-10to10_L1-6to6_nL119_L2-8to8_nL225_nA9_workers12,5,5,5,5,3,8,10,47,9.4,"[8, 9, 10, 10, 10]",70,98
